date,iso2,cumulative_cases,cumulative_negative_tests,cumulative_pending_tests,currently_hospitalized,currently_in_icu,cumulative_in_icu,currently_on_ventilator,cumulative_on_ventilator,cumulative_recovered,cumulative_deaths,cumulative_hospitalized,cumulative_test_results,deaths,hospitalized,negative_tests,cases,test_results,in_icu,on_ventilator,recovered
2020-03-09,US-MD,5.0,73.0,12.0,,,,,,,,,78,0.0,0.0,21.0,2.0,23.0,,,
2020-03-09,US-ME,0.0,1.0,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-MI,0.0,36.0,11.0,,,,,,,,,36,0.0,0.0,10.0,0.0,10.0,,,
2020-03-09,US-MN,2.0,80.0,,,,,,,,,,82,0.0,0.0,32.0,1.0,33.0,,,
2020-03-09,US-MO,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-MS,0.0,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-MT,0.0,11.0,,,,,,,,,,11,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-NC,2.0,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-ND,0.0,0.0,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-NE,3.0,36.0,9.0,,,,,,,,,39,0.0,0.0,19.0,2.0,21.0,,,
2020-03-09,US-NH,4.0,38.0,5.0,,,,,,,,,42,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-NJ,11.0,35.0,14.0,,,,,,,,,46,0.0,0.0,4.0,5.0,9.0,,,
2020-03-09,US-NM,0.0,57.0,0.0,,,,,,,,,57,0.0,0.0,9.0,0.0,9.0,,,
2020-03-09,US-NV,1.0,14.0,,,,,,,,,,15,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-NY,142.0,92.0,236.0,,,,,,,,,234,0.0,0.0,0.0,37.0,37.0,,,
2020-03-09,US-OH,3.0,11.0,5.0,,,,,,,,,14,0.0,0.0,1.0,3.0,4.0,,,
2020-03-09,US-OK,1.0,8.0,10.0,,,,,,,,,9,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-OR,14.0,165.0,52.0,,,,,,,,,179,0.0,0.0,65.0,0.0,65.0,,,
2020-03-09,US-PA,10.0,,,,,,,,,,,10,0.0,0.0,0.0,4.0,4.0,,,
2020-03-09,US-RI,3.0,30.0,6.0,,,,,,,,,33,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-SC,7.0,24.0,,,,,,,,,,31,0.0,0.0,16.0,5.0,21.0,,,
2020-03-09,US-SD,0.0,5.0,0.0,,,,,,,,,5,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-TN,3.0,,,,,,,,,,,3,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-TX,12.0,,,,,,,,,,,12,0.0,0.0,0.0,4.0,4.0,,,
2020-03-09,US-UT,1.0,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-VA,3.0,38.0,9.0,,,,,,,,,41,0.0,0.0,2.0,1.0,3.0,,,
2020-03-09,US-VT,1.0,34.0,,,,,,,,,,35,0.0,0.0,6.0,0.0,6.0,,,
2020-03-09,US-WA,342.0,1110.0,60.0,,,,,,,35.0,,1452,4.0,0.0,470.0,97.0,567.0,,,
2020-03-09,US-WI,1.0,36.0,12.0,,,,,,,,,37,0.0,0.0,5.0,0.0,5.0,,,
2020-03-09,US-WV,0.0,2.0,3.0,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-09,US-WY,0.0,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-10,US-AK,0.0,23.0,9.0,,,,,,,,,23,0.0,0.0,0.0,0.0,0.0,,,
2020-03-10,US-AL,0.0,0.0,0.0,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-10,US-AR,0.0,12.0,3.0,,,,,,,,,12,0.0,0.0,0.0,0.0,0.0,,,
2020-03-10,US-AZ,6.0,51.0,27.0,,,,,,,,,57,0.0,0.0,7.0,1.0,8.0,,,
2020-03-10,US-CA,133.0,690.0,,,,,,,,,,823,0.0,0.0,0.0,19.0,19.0,,,
2020-03-10,US-CO,12.0,142.0,1.0,,,,,,,,,154,0.0,0.0,9.0,3.0,12.0,,,
2020-03-10,US-CT,2.0,54.0,8.0,,,,,,,,,56,0.0,0.0,8.0,1.0,9.0,,,
2020-03-10,US-DC,5.0,17.0,2.0,,,,,,,,,22,0.0,0.0,3.0,4.0,7.0,,,
2020-03-10,US-DE,0.0,17.0,3.0,,,,,,,,,17,0.0,0.0,2.0,0.0,2.0,,,
2020-03-10,US-FL,19.0,222.0,155.0,,,,,,,,,241,0.0,0.0,82.0,1.0,83.0,,,
2020-03-10,US-GA,17.0,,,,,,,,,,,17,0.0,0.0,0.0,5.0,5.0,,,
2020-03-10,US-HI,2.0,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,,,
2020-03-10,US-IA,8.0,32.0,11.0,,,,,,,,,40,0.0,0.0,6.0,5.0,11.0,,,
2020-03-10,US-ID,0.0,41.0,,,,,,,,,,41,0.0,0.0,0.0,0.0,0.0,,,
2020-03-10,US-IL,19.0,244.0,63.0,,,,,,,,,263,0.0,0.0,53.0,12.0,65.0,,,
2020-03-10,US-IN,6.0,30.0,,,,,,,,,,36,0.0,0.0,30.0,4.0,34.0,,,
2020-03-10,US-KS,1.0,17.0,21.0,,,,,,,,,18,0.0,0.0,6.0,0.0,6.0,,,
2020-03-10,US-KY,6.0,28.0,3.0,,,,,,,,,34,0.0,0.0,11.0,2.0,13.0,,,
