iso2,admin_level,name,osm_id,population,timezone,lat,long,wikidata_id,wikipedia_id,iso1
GB-DEN,6,Denbighshire,192442,95330.0,Europe/London,53.09,-3.35,Q650682,,GB
GB-DER,6,Derby,142308,257174.0,Europe/London,52.91,-1.47,Q21885980,en:Derby,GB
GB-DEV,6,Devon,190380,1194166.0,Europe/London,50.76,-3.81,Q23156,de:Devon (England),GB
GB-DGY,6,Dumfries and Galloway,1877232,148790.0,Europe/London,55.08,-3.96,Q126514,de:Dumfries and Galloway,GB
GB-DNC,8,Doncaster,106961,310542.0,Europe/London,53.54,-1.1,Q1925846,en:Metropolitan Borough of Doncaster,GB
GB-DND,6,Dundee City,1921173,148750.0,Europe/London,56.48,-2.97,Q2357511,,GB
GB-DOR,6,Dorset,9448449,376484.0,Europe/London,50.81,-2.34,Q55231693,,GB
GB-DUD,8,Dudley,162488,320626.0,Europe/London,52.48,-2.11,Q1617704,en:Metropolitan Borough of Dudley,GB
GB-DUR,6,County Durham,88067,526980.0,Europe/London,54.7,-1.84,Q1137286,en:County Durham,GB
GB-EAL,8,London Borough of Ealing,181321,341982.0,Europe/London,51.52,-0.33,Q207218,,GB
GB-EAY,6,East Ayrshire,1920348,121840.0,Europe/London,55.49,-4.31,Q209135,en:East Ayrshire,GB
GB-EDH,6,City of Edinburgh,1920901,513210.0,Europe/London,55.92,-3.29,Q23436,en:Edinburgh,GB
GB-EDU,6,East Dunbartonshire,1920660,108330.0,Europe/London,55.96,-4.23,Q211889,en:East Dunbartonshire,GB
GB-ELN,6,East Lothian,1920902,105790.0,Europe/London,55.94,-2.72,Q207257,en:East Lothian,GB
GB-ELS,6,Western Isles,1959008,26830.0,Europe/London,57.93,-6.85,Q80967,,GB
GB-ENF,8,London Borough of Enfield,51841,333869.0,Europe/London,51.65,-0.09,Q210531,en:London Borough of Enfield,GB
GB-ENG,4,England,58447,55268100.0,Europe/London,52.59,-1.46,Q21,en:England,GB
GB-ERW,6,East Renfrewshire,1921238,95170.0,Europe/London,55.75,-4.36,Q211925,en:East Renfrewshire,GB
GB-ERY,6,East Riding of Yorkshire,88083,339614.0,Europe/London,53.87,-0.49,Q21695028,en:East Riding of Yorkshire,GB
GB-ESS,6,Essex,180904,1477764.0,Europe/London,51.81,0.56,Q21272241,en:Essex,GB
GB-ESX,6,East Sussex,92650,554590.0,Europe/London,50.94,0.27,Q21694646,en:East Sussex,GB
GB-FAL,6,Falkirk,1920842,160340.0,Europe/London,56.0,-3.8,Q216802,en:Falkirk (council area),GB
GB-FIF,6,Fife,1905841,371910.0,Europe/London,56.23,-3.13,Q201149,en:Fife,GB
GB-FLN,6,Flintshire,198566,155593.0,Europe/London,53.21,-3.16,Q505610,,GB
GB-GAT,8,Gateshead,140462,202508.0,Europe/London,54.94,-1.68,Q929034,en:Metropolitan Borough of Gateshead,GB
GB-GLG,6,Glasgow City,1906767,626410.0,Europe/London,55.86,-4.25,Q55934339,,GB
GB-GLS,6,Gloucestershire,85103,633558.0,Europe/London,51.83,-2.12,Q21694733,en:Gloucestershire,GB
GB-GRE,8,Royal Borough of Greenwich,51902,286186.0,Europe/London,51.47,0.06,Q693450,en:Royal Borough of Greenwich,GB
GB-GWN,6,Gwynedd,297286,124178.0,Europe/London,52.89,-4.02,Q109128,,GB
GB-HAL,6,Halton,147284,128432.0,Europe/London,53.35,-2.71,Q376141,en:Borough of Halton,GB
GB-HAM,6,Hampshire,172799,1376316.0,Europe/London,51.07,-1.29,Q21694653,en:Hampshire,GB
GB-HAV,8,London Borough of Havering,185478,257810.0,Europe/London,51.56,0.22,Q215038,en:London Borough of Havering,GB
GB-HCK,8,London Borough of Hackney,51806,279665.0,Europe/London,51.55,-0.06,Q205679,,GB
GB-HEF,6,Herefordshire,10187,192107.0,Europe/London,52.1,-2.75,Q23129,de:Herefordshire,GB
GB-HIL,8,London Borough of Hillingdon,183779,304824.0,Europe/London,51.54,-0.45,Q205690,en:London Borough of Hillingdon,GB
GB-HLD,6,Highland,1433249,235540.0,Europe/London,57.58,-4.76,Q208279,en:Highland (council area),GB
GB-HMF,8,London Borough of Hammersmith and Fulham,184484,185426.0,Europe/London,51.5,-0.22,Q40478,en:London Borough of Hammersmith and Fulham,GB
GB-HNS,8,London Borough of Hounslow,51848,270782.0,Europe/London,51.47,-0.37,Q214162,,GB
GB-HPL,6,Hartlepool,153375,93242.0,Europe/London,54.67,-1.26,Q2594690,en:Borough of Hartlepool,GB
GB-HRT,6,Hertfordshire,57032,1184365.0,Europe/London,51.83,-0.22,Q3410,de:Hertfordshire,GB
GB-HRW,8,London Borough of Harrow,181292,250149.0,Europe/London,51.6,-0.34,Q210476,,GB
GB-HRY,8,London Borough of Haringey,51814,270624.0,Europe/London,51.59,-0.11,Q213560,,GB
GB-IOS,6,Isles of Scilly,158039,2242.0,Europe/London,49.94,-6.31,Q180209,,GB
GB-IOW,6,Isle of Wight,154350,141538.0,Europe/London,50.67,-1.3,Q9679,en:Isle of Wight,GB
GB-ISL,8,London Borough of Islington,51821,239142.0,Europe/London,51.55,-0.11,Q205817,,GB
GB-IVC,6,Inverclyde,1921239,78150.0,Europe/London,55.9,-4.74,Q208271,en:Inverclyde,GB
GB-JSY,2,Jersey,367988,105500.0,Europe/Jersey,49.21,-2.13,Q785,fr:Jersey,GB
GB-KEC,8,Royal Borough of Kensington and Chelsea,51793,156197.0,Europe/London,51.5,-0.19,Q188801,,GB
GB-KEN,6,Kent,172385,1568623.0,Europe/London,51.22,0.73,Q21694674,en:Kent,GB
GB-KHL,6,Kingston upon Hull,60148,260645.0,Europe/London,53.76,-0.33,Q21885987,en:Kingston upon Hull,GB
GB-KIR,8,Kirklees,109954,438727.0,Europe/London,53.63,-1.76,Q918975,,GB
GB-KTT,8,Royal Borough of Kingston upon Thames,51909,175470.0,Europe/London,51.39,-0.29,Q32508,,GB
GB-KWL,8,Knowsley,173025,149571.0,Europe/London,53.43,-2.83,Q1228523,,GB
GB-LAN,6,Lancashire,88081,1210053.0,Europe/London,53.84,-2.61,Q21279371,en:Lancashire,GB
GB-LBH,8,London Borough of Lambeth,184710,325917.0,Europe/London,51.45,-0.12,Q202059,,GB
GB-LCE,6,City of Leicester,162353,355218.0,Europe/London,52.64,-1.13,Q21683242,en:Leicester,GB
GB-LDS,8,Leeds,118362,789194.0,Europe/London,53.83,-1.51,Q774015,,GB
GB-LEC,6,Leicestershire,189890,698268.0,Europe/London,52.67,-1.11,Q21272890,en:Leicestershire,GB
GB-LEW,8,London Borough of Lewisham,184724,303536.0,Europe/London,51.45,-0.02,Q215030,en:London Borough of Lewisham,GB
GB-LIN,6,Lincolnshire,78312,755833.0,Europe/London,53.11,-0.25,Q21269047,en:Lincolnshire,GB
GB-LIV,8,Liverpool,172987,494814.0,Europe/London,53.4,-2.92,Q21665571,,GB
GB-LND,6,City of London,51800,8706.0,Europe/London,51.51,-0.09,Q23311,en:City of London,GB
GB-LUT,6,Luton,158392,214109.0,Europe/London,51.89,-0.43,Q21683239,en:Luton,GB
GB-MAN,8,Manchester,146656,547627.0,Europe/London,53.45,-2.23,Q21525592,,GB
GB-MDB,6,Middlesbrough,150988,140545.0,Europe/London,54.54,-1.22,Q2673020,en:Middlesbrough Council,GB
GB-MDW,6,Medway,158019,277855.0,Europe/London,51.42,0.55,Q797782,en:Medway,GB
GB-MIK,6,Milton Keynes,172504,268607.0,Europe/London,52.08,-0.73,Q894090,en:Borough of Milton Keynes,GB
GB-MLN,6,Midlothian,1920903,91340.0,Europe/London,55.83,-3.11,Q206934,,GB
GB-MON,6,Monmouthshire,358021,94142.0,Europe/London,51.77,-2.87,Q207176,,GB
GB-MRT,8,London Borough of Merton,51905,206186.0,Europe/London,51.41,-0.2,Q32504,,GB
GB-MRY,6,Moray,1775792,95520.0,Europe/London,57.47,-3.27,Q211106,,GB
GB-MTY,6,Merthyr Tydfil,2750939,60183.0,Europe/London,51.74,-3.36,Q3306663,,GB
GB-NAY,6,North Ayrshire,1910014,135280.0,Europe/London,55.65,-4.98,Q206926,en:North Ayrshire,GB
GB-NBL,6,Northumberland,88066,320274.0,Europe/London,55.24,-2.07,Q23079,en:Northumberland,GB
GB-NEL,6,North East Lincolnshire,69361,159821.0,Europe/London,53.54,-0.14,Q1342914,en:North East Lincolnshire,GB
GB-NET,8,Newcastle upon Tyne,142282,300196.0,Europe/London,55.01,-1.66,Q21012735,en:Newcastle upon Tyne,GB
GB-NFK,6,Norfolk,57397,903680.0,Europe/London,52.67,0.95,Q23109,en:Norfolk,GB
GB-NGM,6,City of Nottingham,123292,331069.0,Europe/London,52.96,-1.18,Q21885994,en:Nottingham,GB
GB-NIR,4,Northern Ireland,156393,1862100.0,Europe/London,54.61,-6.69,Q26,en:Northern Ireland,GB
GB-NLK,6,North Lanarkshire,1920584,340180.0,Europe/London,55.87,-3.95,Q207111,en:North Lanarkshire,GB
GB-NLN,6,North Lincolnshire,107240,172005.0,Europe/London,53.59,-0.59,Q175945,en:North Lincolnshire,GB
GB-NSM,6,North Somerset,80277,213919.0,Europe/London,51.39,-2.79,Q178196,en:North Somerset,GB
GB-NTH,6,Northamptonshire,63375,747622.0,Europe/London,52.31,-0.86,Q23115,,GB
GB-NTL,6,Neath Port Talbot,89846,142906.0,Europe/London,51.68,-3.74,Q748078,,GB
GB-NTT,6,Nottinghamshire,181040,823126.0,Europe/London,53.13,-1.01,Q21272736,en:Nottinghamshire,GB
GB-NTY,8,North Tyneside,142245,205985.0,Europe/London,55.03,-1.52,Q1120443,en:North Tyneside,GB
GB-NWM,8,London Borough of Newham,185505,352005.0,Europe/London,51.53,0.04,Q208139,en:London Borough of Newham,GB
GB-NWP,6,Newport,335184,153302.0,Europe/London,51.58,-2.97,Q11294004,"en:Newport, Wales",GB
GB-NYK,6,North Yorkshire,88068,614505.0,Europe/London,54.19,-1.42,Q21241814,en:North Yorkshire,GB
GB-OLD,8,Oldham,146925,235623.0,Europe/London,53.55,-2.05,Q1278608,,GB
GB-ORK,6,Orkney Islands,375982,22190.0,Europe/London,59.03,-3.05,Q100166,,GB
GB-OXF,6,Oxfordshire,76155,687524.0,Europe/London,51.77,-1.32,Q23169,en:Oxfordshire,GB
GB-PEM,6,Pembrokeshire,57535,125055.0,Europe/London,51.86,-4.89,Q213361,,GB
GB-PKN,6,Perth and Kinross,1915429,151290.0,Europe/London,56.57,-3.82,Q207679,,GB
