fips,state_abbr,lat,long
17049,IL,39.047945,-88.592849
17051,IL,39.001125,-89.017923
17053,IL,40.596539,-88.224588
17055,IL,37.991852,-88.926321
17057,IL,40.46524,-90.202269
17059,IL,37.768677,-88.227964
17061,IL,39.355439,-90.387682
17063,IL,41.29241,-88.401054
17065,IL,38.085227,-88.539009
17067,IL,40.401318,-91.168801
17069,IL,37.517852,-88.266148
17071,IL,40.814471,-90.941246
17073,IL,41.350021,-90.130838
17075,IL,40.748867,-87.833601
17077,IL,37.786096,-89.381212
17079,IL,39.004874,-88.150763
17081,IL,38.30078,-88.92421
17083,IL,39.080195,-90.361385
17085,IL,42.362391,-90.21147
17087,IL,37.460709,-88.882131
17089,IL,41.939594,-88.42804
17091,IL,41.13951,-87.861117
17093,IL,41.58814,-88.430626
17095,IL,40.930945,-90.213792
17097,IL,42.326441,-87.435976
17099,IL,41.343341,-88.885931
17101,IL,38.718954,-87.730221
17103,IL,41.747447,-89.299362
17105,IL,40.894376,-88.552852
17107,IL,40.129277,-89.365309
17109,IL,40.455808,-90.678954
17111,IL,42.324298,-88.452245
17113,IL,40.494559,-88.844539
17115,IL,39.860237,-88.961529
17117,IL,39.265914,-89.92633
17119,IL,38.82712,-89.900227
17121,IL,38.648236,-88.920362
17123,IL,41.031119,-89.342371
17125,IL,40.236993,-89.913575
17127,IL,37.216119,-88.705658
17129,IL,40.022569,-89.794133
17131,IL,41.205605,-90.74177
17133,IL,38.277983,-90.179078
17135,IL,39.228068,-89.478141
17137,IL,39.717668,-90.205005
17139,IL,39.636896,-88.625726
17141,IL,42.041884,-89.320176
17143,IL,40.785972,-89.766993
17145,IL,38.084381,-89.368525
17147,IL,40.009033,-88.592355
17149,IL,39.625106,-90.889034
17151,IL,37.417169,-88.542374
17153,IL,37.215615,-89.127755
17155,IL,41.198961,-89.298347
17157,IL,38.056515,-89.82121
17159,IL,38.712187,-88.085452
17161,IL,41.468421,-90.572125
17163,IL,38.470198,-89.928546
17165,IL,37.751508,-88.545024
17167,IL,39.756867,-89.662425
17169,IL,40.156905,-90.613464
17171,IL,39.637002,-90.477771
17173,IL,39.384926,-88.798862
17175,IL,41.096908,-89.797411
17177,IL,42.349726,-89.665994
17179,IL,40.508074,-89.51626
17181,IL,37.485652,-89.244639
17183,IL,40.186754,-87.726778
17185,IL,38.445821,-87.839167
17187,IL,40.850441,-90.620223
17189,IL,38.35314,-89.417187
17191,IL,38.431857,-88.43243
17193,IL,38.087326,-88.178623
17195,IL,41.750673,-89.911005
17197,IL,41.448474,-87.978456
17199,IL,37.730353,-88.930018
17201,IL,42.337396,-89.161205
17203,IL,40.789787,-89.210587
18001,IN,40.745733,-84.93613
18003,IN,41.091909,-85.071791
18005,IN,39.205843,-85.897999
18007,IN,40.600939,-87.314786
18009,IN,40.472672,-85.32373
18011,IN,40.050892,-86.469014
18013,IN,39.195113,-86.230121
18015,IN,40.58498,-86.565141
18017,IN,40.753799,-86.355168
18019,IN,38.476217,-85.711122
18021,IN,39.393928,-87.115858
18023,IN,40.305944,-86.477567
18025,IN,38.289433,-86.440871
18027,IN,38.69609,-87.076943
18029,IN,39.14832,-84.973498
18031,IN,39.30598,-85.499831
18033,IN,41.401189,-85.000185
18035,IN,40.227543,-85.399262
18037,IN,38.373344,-86.873385
18039,IN,41.600693,-85.863986
18041,IN,39.639655,-85.185032
18043,IN,38.318081,-85.911847
18045,IN,40.121237,-87.234872
18047,IN,39.409762,-85.066964
18049,IN,41.050384,-86.265006
18051,IN,38.317398,-87.580523
18053,IN,40.515758,-85.654946
18055,IN,39.047147,-87.004771
18057,IN,40.053507,-86.021713
18059,IN,39.822529,-85.77315
18061,IN,38.186454,-86.103766
18063,IN,39.768963,-86.509908
18065,IN,39.929591,-85.397363
18067,IN,40.483537,-86.114118
18069,IN,40.826394,-85.478597
18071,IN,38.911957,-86.042516
18073,IN,41.017688,-87.118814
18075,IN,40.434956,-85.002331
18077,IN,38.783604,-85.44009
18079,IN,38.996229,-85.628103
18081,IN,39.496092,-86.094264
18083,IN,38.688391,-87.420354
18085,IN,41.244293,-85.861575
18087,IN,41.642462,-85.427845
18089,IN,41.472247,-87.374337
18091,IN,41.549013,-86.744739
18093,IN,38.839815,-86.48782
18095,IN,40.166203,-85.722454
18097,IN,39.782976,-86.135794
18099,IN,41.325003,-86.269036
18101,IN,38.705322,-86.801847
18103,IN,40.772883,-86.044258
18105,IN,39.160729,-86.52331
18107,IN,40.040296,-86.892715
18109,IN,39.482646,-86.447457
18111,IN,40.962399,-87.402172
18113,IN,41.404679,-85.417271
18115,IN,38.940527,-84.964299
18117,IN,38.547381,-86.489257
18119,IN,39.317339,-86.838845
18121,IN,39.77425,-87.19695
18123,IN,38.081436,-86.62654
18125,IN,38.397961,-87.232547
18127,IN,41.509914,-87.071313
18129,IN,38.027614,-87.868653
18131,IN,41.045272,-86.692538
18133,IN,39.665548,-86.853373
18135,IN,40.164079,-85.00579
18137,IN,39.100226,-85.260494
18139,IN,39.622379,-85.466446
18141,IN,41.617723,-86.288048
18143,IN,38.679431,-85.751898
18145,IN,39.524135,-85.792174
18147,IN,38.009697,-87.010375
18149,IN,41.284478,-86.644636
18151,IN,41.643467,-85.002405
